"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"California"	"06"	"1999"	"1999"	"May"	"5"	"6"	"6"	23.43
	"California"	"06"	"1999"	"1999"	"May"	"5"	"7"	"7"	20.93
	"California"	"06"	"1999"	"1999"	"May"	"5"	"8"	"8"	19.19
	"California"	"06"	"1999"	"1999"	"May"	"5"	"9"	"9"	18.02
	"California"	"06"	"1999"	"1999"	"May"	"5"	"10"	"10"	19.22
	"California"	"06"	"1999"	"1999"	"May"	"5"	"11"	"11"	22.24
	"California"	"06"	"1999"	"1999"	"May"	"5"	"12"	"12"	23.07
	"California"	"06"	"1999"	"1999"	"May"	"5"	"13"	"13"	19.46
	"California"	"06"	"1999"	"1999"	"May"	"5"	"14"	"14"	17.56
	"California"	"06"	"1999"	"1999"	"May"	"5"	"15"	"15"	17.55
	"California"	"06"	"1999"	"1999"	"May"	"5"	"16"	"16"	20.42
	"California"	"06"	"1999"	"1999"	"May"	"5"	"17"	"17"	23.11
	"California"	"06"	"1999"	"1999"	"May"	"5"	"18"	"18"	23.21
	"California"	"06"	"1999"	"1999"	"May"	"5"	"19"	"19"	22.60
	"California"	"06"	"1999"	"1999"	"May"	"5"	"20"	"20"	21.27
	"California"	"06"	"1999"	"1999"	"May"	"5"	"21"	"21"	23.87
	"California"	"06"	"1999"	"1999"	"May"	"5"	"22"	"22"	24.79
	"California"	"06"	"1999"	"1999"	"May"	"5"	"23"	"23"	24.64
	"California"	"06"	"1999"	"1999"	"May"	"5"	"24"	"24"	25.79
	"California"	"06"	"1999"	"1999"	"May"	"5"	"25"	"25"	26.79
	"California"	"06"	"1999"	"1999"	"May"	"5"	"26"	"26"	27.95
	"California"	"06"	"1999"	"1999"	"May"	"5"	"27"	"27"	28.14
	"California"	"06"	"1999"	"1999"	"May"	"5"	"28"	"28"	26.80
	"California"	"06"	"1999"	"1999"	"May"	"5"	"29"	"29"	22.93
	"California"	"06"	"1999"	"1999"	"May"	"5"	"30"	"30"	23.13
	"California"	"06"	"1999"	"1999"	"May"	"5"	"31"	"31"	23.73
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"1"	"1"	21.90
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"2"	"2"	15.50
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"3"	"3"	15.50
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"4"	"4"	17.77
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"5"	"5"	22.67
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"6"	"6"	22.68
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"7"	"7"	21.78
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"8"	"8"	22.00
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"9"	"9"	23.29
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"10"	"10"	24.06
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"11"	"11"	26.07
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"12"	"12"	26.96
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"13"	"13"	28.73
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"14"	"14"	30.30
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"15"	"15"	28.89
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"16"	"16"	28.11
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"17"	"17"	29.48
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"18"	"18"	28.91
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"19"	"19"	29.81
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"20"	"20"	30.17
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"21"	"21"	28.53
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"22"	"22"	29.65
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"23"	"23"	30.67
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"24"	"24"	28.62
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"25"	"25"	26.95
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"26"	"26"	28.08
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"27"	"27"	29.79
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"28"	"28"	31.79
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"29"	"29"	32.88
	"California"	"06"	"1999"	"1999"	"Jun"	"6"	"30"	"30"	33.99
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"1"	"1"	32.93
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"2"	"2"	29.19
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"3"	"3"	26.83
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"4"	"4"	26.71
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"5"	"5"	31.07
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"6"	"6"	31.72
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"7"	"7"	29.76
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"8"	"8"	30.53
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"9"	"9"	30.53
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"10"	"10"	32.60
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"11"	"11"	34.34
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"12"	"12"	34.54
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"13"	"13"	33.00
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"14"	"14"	31.27
