"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"9"	"9"	29.86
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"10"	"10"	29.65
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"11"	"11"	28.81
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"12"	"12"	29.03
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"13"	"13"	29.95
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"14"	"14"	29.84
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"15"	"15"	29.36
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"16"	"16"	28.78
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"17"	"17"	29.56
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"18"	"18"	29.48
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"19"	"19"	29.54
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"20"	"20"	29.98
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"21"	"21"	29.48
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"22"	"22"	29.33
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"23"	"23"	29.87
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"24"	"24"	30.67
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"25"	"25"	31.21
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"26"	"26"	31.37
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"27"	"27"	30.50
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"28"	"28"	31.12
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"29"	"29"	30.44
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"30"	"30"	30.23
	"Florida"	"12"	"1999"	"1999"	"May"	"5"	"31"	"31"	29.09
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"1"	"1"	28.95
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"2"	"2"	30.41
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"3"	"3"	31.19
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"4"	"4"	32.88
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"5"	"5"	31.60
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"6"	"6"	29.34
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"7"	"7"	29.87
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"8"	"8"	29.76
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"9"	"9"	30.47
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"10"	"10"	30.81
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"11"	"11"	30.30
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"12"	"12"	29.47
